Date,Fans
2016-01-07T08:00:00+0000,10942004
2016-01-08T08:00:00+0000,10944353
2016-01-09T08:00:00+0000,10946669
2016-01-10T08:00:00+0000,10948664
2016-01-11T08:00:00+0000,10947934
2016-01-12T08:00:00+0000,10947552
2016-01-13T08:00:00+0000,10947299
2016-01-14T08:00:00+0000,10948757
2016-01-15T08:00:00+0000,10947314
2016-01-16T08:00:00+0000,10947365
2016-01-17T08:00:00+0000,10938224
2016-01-18T08:00:00+0000,10947002
2016-01-19T08:00:00+0000,10920025
2016-01-20T08:00:00+0000,10920149
2016-01-21T08:00:00+0000,10919953
2016-01-22T08:00:00+0000,10919707
2016-01-23T08:00:00+0000,10920853
2016-01-24T08:00:00+0000,10922508
2016-01-25T08:00:00+0000,10922527
2016-01-26T08:00:00+0000,10922559
2016-01-27T08:00:00+0000,10922061
2016-01-28T08:00:00+0000,10921963
2016-01-29T08:00:00+0000,10921732
2016-01-30T08:00:00+0000,10921852
2016-01-31T08:00:00+0000,10921973
2016-02-01T08:00:00+0000,10922079
2016-02-02T08:00:00+0000,10921961
2016-02-03T08:00:00+0000,10921893
2016-02-04T08:00:00+0000,10921516
2016-02-05T08:00:00+0000,10922254
2016-02-06T08:00:00+0000,10933232
2016-02-07T08:00:00+0000,10934256
2016-02-08T08:00:00+0000,10933919
2016-02-09T08:00:00+0000,10933936
2016-02-10T08:00:00+0000,10934085
2016-02-11T08:00:00+0000,10934604
2016-02-12T08:00:00+0000,10936101
2016-02-13T08:00:00+0000,10936786
2016-02-14T08:00:00+0000,10937045
2016-02-15T08:00:00+0000,10937846
2016-02-16T08:00:00+0000,10938883
2016-02-17T08:00:00+0000,10939212
2016-02-18T08:00:00+0000,10939747
2016-02-19T08:00:00+0000,10939474
2016-02-20T08:00:00+0000,10940099
2016-02-21T08:00:00+0000,10940378
2016-02-22T08:00:00+0000,10940830
2016-02-23T08:00:00+0000,10941851
2016-02-24T08:00:00+0000,10942049
2016-02-25T08:00:00+0000,10943213
2016-02-26T08:00:00+0000,10944128
2016-02-27T08:00:00+0000,10944232
2016-02-28T08:00:00+0000,10944565
2016-02-29T08:00:00+0000,10946093
2016-03-01T08:00:00+0000,10947200
2016-03-02T08:00:00+0000,10948460
2016-03-03T08:00:00+0000,10949228
2016-03-04T08:00:00+0000,10949993
2016-03-05T08:00:00+0000,10951109
2016-03-06T08:00:00+0000,10952170
2016-03-07T08:00:00+0000,10953175
2016-03-08T08:00:00+0000,10954350
2016-03-09T08:00:00+0000,10956279
2016-03-10T08:00:00+0000,10957538
2016-03-11T08:00:00+0000,10958680
2016-03-12T08:00:00+0000,10959412
2016-03-13T08:00:00+0000,10960742
2016-03-14T07:00:00+0000,10961176
2016-03-15T07:00:00+0000,10961964
2016-03-16T07:00:00+0000,10962261
2016-03-17T07:00:00+0000,10962691
2016-03-18T07:00:00+0000,10962731
2016-03-19T07:00:00+0000,10963306
2016-03-20T07:00:00+0000,10963902
2016-03-21T07:00:00+0000,10964316
2016-03-22T07:00:00+0000,10965431
2016-03-23T07:00:00+0000,10966158
2016-03-24T07:00:00+0000,10967280
2016-03-25T07:00:00+0000,10968523
2016-03-26T07:00:00+0000,10968994
2016-03-27T07:00:00+0000,10970490
2016-03-28T07:00:00+0000,10971987
2016-03-29T07:00:00+0000,10972790
2016-03-30T07:00:00+0000,10973878
2016-03-31T07:00:00+0000,10973689
